#,Type,Scenario Name,Problem Summary,Prerequisites,Tool Features,Success Criteria,Min Pass,Deliverables,Chain/Category
111,🔗 CONTINUES,Employee Cohort Retention Analysis,"GlobalTech HR analyzing employee retention by hiring cohort. For each hire month, calculate: Month 0 (hired), Month 1 (% still employed after 1 month), Month 3, Month 6, Month 12, Month 24. Identify cohorts with poor retention for hiring process improvements.",Assignment #1 (employees with hire_date and termination_date or is_active),"Cohort analysis, retention calculation, time-based grouping, DATE_TRUNC or DATE_FORMAT for cohorts, DATEDIFF for tenure, percentage calculations, pivot-like reporting","14 criteria, 100 pts",85 pts,"SQL script (cohort retention query), retention table screenshot showing cohorts × months, visualization-ready output, documentation (300 words on cohort analysis)",Employee Chain: #1→#4→#10→#21→#24→#51→#111 (CHAIN END)
112,🔗 CONTINUES,E-Shop RFM Customer Segmentation,"Marketing segmenting customers using RFM model for personalized campaigns. Calculate for each customer: Recency (days since last order), Frequency (total order count), Monetary (total lifetime spending). Score each dimension 1-5 (quintiles). Segment: 555=Champions, 155=At-Risk, 111=Lost.","Assignment #3 (customers, orders with dates and totals)","RFM analysis, customer segmentation, NTILE for quintile scoring, CASE WHEN for segment assignment, multiple dimension scoring, marketing analytics","15 criteria, 100 pts",85 pts,"SQL script (RFM calculation and scoring), RFM segments distribution screenshot, customer segments table, documentation (300 words explaining RFM)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
113,🔗 CONTINUES,E-Shop Conversion Funnel Analysis,"E-commerce Director analyzing conversion funnel: (1) 10,000 visitors, (2) 3,000 add to cart (30%), (3) 1,200 reach checkout (12%), (4) 900 complete purchase (9%). Calculate dropoff % at each stage. Identify biggest leak for A/B testing focus.","Assignment #3 + create events table (visitor_id, event_type, timestamp)","Funnel analysis, conversion rate calculation, stage-by-stage dropoff, CTE for funnel stages, percentage calculations, e-commerce metrics","13 criteria, 100 pts",85 pts,"SQL script (funnel query with CTEs), funnel metrics table screenshot, dropoff analysis, documentation (250 words on funnel optimization)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
114,🔗 CONTINUES,Market Basket Analysis - Product Pairs,"RetailMart discovering products frequently bought together for cross-sell opportunities. Calculate for each product pair: (1) Support (% orders containing both), (2) Confidence (if buy A, % also buy B), (3) Lift (actual vs expected co-occurrence). Find top 20 pairs with lift >1.5.",Assignment #2 (products) + Assignment #3 (order_items),"Market basket analysis, association rules, self-JOIN for product pairs, support/confidence/lift calculations, recommendation algorithms","16 criteria, 100 pts",90 pts,"SQL script (product pairs analysis), top 20 pairs table screenshot with metrics, cross-sell recommendations, documentation (300 words on market basket)",Product Chain: #2→#6→#9→#14→#25→#114 (CHAIN END)
115,🆕 NEW,Time Series Decomposition - Trend/Seasonal/Random,"Retail sales analytics team separating sales components: (1) Trend (12-month moving average), (2) Seasonal index (each month vs annual average), (3) Random/residual (actual - trend - seasonal). Understand underlying patterns vs noise.",None - create daily_sales table with 2+ years of data,"Time series decomposition, moving averages for trend, seasonal indexing, residual calculation, window functions for time series","14 criteria, 100 pts",85 pts,"SQL script (decomposition queries), trend/seasonal/random components table screenshot, seasonal index by month, documentation (300 words)",STANDALONE - Time series analysis
116,🆕 NEW,Distribution Analysis - Key Percentiles,"Sales compensation team designing commission tiers based on performance distribution. Calculate percentiles: P25 (bottom 25%), P50 (median), P75 (top 25%), P90 (top 10%), P95 (top 5%), P99 (top 1%). Understand performance spread.",None - create sales_performance table with rep_id and monthly_sales,"Percentile calculation, PERCENTILE_CONT, PERCENTILE_DISC, distribution analysis, ntile vs percentile_cont, understanding data spread","11 criteria, 100 pts",80 pts,"SQL script (percentile calculations), percentile distribution table screenshot, performance tiers visualization-ready, documentation (200 words)",STANDALONE - Statistical percentiles
117,🆕 NEW,Time Series Gap Filling,"IoT sensor data has missing dates (sensors offline). Analytics dashboard requires complete date series with no gaps. Generate all dates in range, LEFT JOIN actual data, fill missing values with: (1) 0 for counters, (2) Previous value (carry-forward) for gauges.",None - create sensor_readings table with gaps in dates,"Date series generation, generate_series (PostgreSQL) or recursive CTE, LEFT JOIN for gap filling, COALESCE with LAG for carry-forward, complete time series","13 criteria, 100 pts",85 pts,"SQL script (date generation, gap filling), complete series screenshot showing filled gaps, documentation (250 words on gap filling strategies)",STANDALONE - Time series gap filling
118,🆕 NEW,Sessionization - Clickstream Analysis,"Website analytics: group user clicks into sessions. Session = continuous activity, ends after 30 minutes of inactivity. Use LAG to check time since previous click. If >30min, new session. Assign session_id to each click for analytics.","None - create clickstream table (user_id, page_url, timestamp)","Sessionization logic, LAG for time gaps, CASE WHEN for session breaks, SUM() OVER for session numbering, clickstream analysis","14 criteria, 100 pts",85 pts,"SQL script (sessionization query), clicks with session_id screenshot, session duration analysis, documentation (250 words)",STANDALONE - Session identification
119,🔗 CONTINUES,Customer Lifetime Value (LTV) Calculation,"E-Shop CFO forecasting revenue. Calculate LTV per customer: (1) Historical: total spent to date, (2) Projected: average order value × predicted future orders (based on purchase frequency), (3) Discounted: apply 10% annual discount rate for NPV.","Assignment #3 (customers, orders with full history)","LTV calculation, historical revenue, predictive metrics (order frequency, recency), NPV with discount rate, customer value modeling","15 criteria, 100 pts",85 pts,"SQL script (LTV calculation with historical and projected), customer LTV ranking screenshot, high-value customers report, documentation (300 words on LTV)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119 (CHAIN END)
120,🆕 NEW,Churn Prediction Feature Engineering,"SaaS company building churn prediction ML model. SQL creates features for each customer: (1) days_since_last_login, (2) login_frequency_30d, (3) feature_usage_count, (4) support_tickets_count, (5) billing_issues (boolean), (6) tenure_days. Output: CSV for ML.","None - create users, logins, usage_events, support_tickets tables","Feature engineering for ML, calculating behavioral metrics, recency/frequency metrics, aggregate features, preparing ML datasets in SQL","14 criteria, 100 pts",85 pts,"SQL script (feature calculation query), features table screenshot with 6+ columns, CSV export statement, documentation (250 words on feature engineering)",STANDALONE - ML feature preparation
121,🆕 NEW,A/B Test Statistical Analysis,"Product team ran A/B test: Control (5,000 users, 250 conversions = 5%), Treatment (5,000 users, 300 conversions = 6%). Calculate: conversion rates, absolute lift (+1%), relative lift (+20%), standard error, z-score, p-value. Is difference statistically significant (p<0.05)?",None - create ab_test_results table,"A/B test analysis, conversion rate calculation, statistical significance, z-test, p-value calculation, hypothesis testing in SQL","13 criteria, 100 pts",85 pts,"SQL script (statistical calculations), test results table with significance, interpretation, documentation (300 words on A/B testing)",STANDALONE - Statistical hypothesis testing
122,🔗 CONTINUES,Moving Annual Total (MAT),"E-Shop investors track MAT (Moving Annual Total): for each day, sum of last 365 days revenue. Smooths seasonality better than year-over-year. Calculate MAT for every day using window function with 365-day window.",Assignment #3 (orders with daily revenue data),"Moving Annual Total, SUM() OVER with ROWS BETWEEN, 365-day rolling window, trailing 12-month metrics","10 criteria, 100 pts",80 pts,"SQL script (MAT calculation), MAT trend screenshot, documentation (150 words on MAT vs YoY)",Order Chain continuation
123,🆕 NEW,Slowly Changing Dimension Type 2 (SCD2),"Data warehouse tracking customer address changes over time. When address changes: (1) Set old record is_current=FALSE, valid_to=CURRENT_DATE, (2) Insert new record with new address, is_current=TRUE, valid_from=CURRENT_DATE, valid_to=NULL. Historical point-in-time queries possible.",None - create customers_dim table with SCD2 columns,"SCD Type 2, historical tracking, valid_from/valid_to, is_current flag, INSERT and UPDATE for changes, point-in-time queries","14 criteria, 100 pts",85 pts,"SQL script (SCD2 update logic, historical query examples), SCD2 table screenshot showing history, documentation (300 words on SCD types)",STANDALONE - Data warehousing pattern
124,🆕 NEW,Event Sequence Analysis - User Journeys,"E-commerce analyzing common user paths: what sequences lead to purchase? Find top 10 most common 3-event sequences (e.g., HomePage→ProductPage→Checkout or Search→ProductPage→Cart). Use LAG/LEAD to build sequences.","None - create events table (user_id, event_type, timestamp)","Sequence analysis, LAG/LEAD for event sequences, STRING_AGG or CONCAT for sequence paths, pattern identification","13 criteria, 100 pts",85 pts,"SQL script (sequence building, top paths), top 10 sequences screenshot, path frequency analysis, documentation (250 words)",STANDALONE - Sequence pattern mining
125,🆕 NEW,Anomaly Detection - Outlier Identification,"Operations monitoring daily transaction volumes. Flag anomalous days: values >3 standard deviations from mean (outliers). Calculate: mean, standard deviation, z-score for each day. Flag if abs(z-score) > 3. Alert on anomalies.",None - create daily_transactions table,"Anomaly detection, standard deviation (STDDEV), z-score calculation, outlier identification, statistical thresholds","11 criteria, 100 pts",80 pts,"SQL script (outlier detection), flagged anomalies screenshot, z-score distribution, documentation (200 words)",STANDALONE - Statistical anomaly detection
126,🆕 NEW,Weighted Average Calculation,Student GPA calculation: different courses have different credits (weights). Overall GPA = SUM(grade × credits) / SUM(credits). Cannot use simple AVG(). Calculate weighted average per student.,"None - create courses_taken table (student_id, course, grade, credits)","Weighted average, SUM(value × weight) / SUM(weight), difference from simple average, weighted metrics","9 criteria, 100 pts",75 pts,"SQL script (weighted vs simple average comparison), GPA calculations screenshot, documentation (150 words)",STANDALONE - Weighted calculations
127,🆕 NEW,Binning/Discretization - Continuous to Categorical,"Marketing segmenting customers by age: 18-24 (Gen Z), 25-40 (Millennial), 41-56 (Gen X), 57+ (Boomer). Convert continuous age values into discrete categories using CASE WHEN. Also create income brackets, purchase frequency tiers.","None - create customers with age, income, purchase_count","Binning, discretization, CASE WHEN for ranges, continuous to categorical conversion, segmentation","10 criteria, 100 pts",80 pts,"SQL script (multiple binning examples), segmented customers screenshot, distribution by bins, documentation (150 words)",STANDALONE - Data categorization
128,🆕 NEW,Rate Calculation - Per Capita Metrics,"Healthcare: calculate disease rates per 100,000 population by region. Formula: (cases / population) × 100,000. Normalize for population differences. Compare regions fairly.","None - create health_stats table (region, population, disease_cases)","Rate calculation, per-capita metrics, normalization, population-adjusted metrics, epidemiological rates","9 criteria, 100 pts",75 pts,"SQL script (rate calculations), per-capita rates table screenshot, regional comparison, documentation (150 words)",STANDALONE - Normalized metrics
129,🆕 NEW,Cumulative Distribution - Pareto Analysis,"Business applying 80/20 rule: do 20% of products generate 80% of revenue? Calculate cumulative distribution: sort products by revenue DESC, calculate running % of total revenue. Identify cutoff where cumulative reaches 80%.",None - create product_revenue table,"Cumulative distribution, running percentage of total, Pareto principle, SUM() OVER for cumulative, 80/20 analysis","11 criteria, 100 pts",80 pts,"SQL script (cumulative % calculation), Pareto curve data screenshot, 80/20 cutoff identification, documentation (200 words)",STANDALONE - Pareto analysis
130,🆕 NEW,Survival Analysis Basics - Time to Event,"SaaS analyzing ""time to first purchase"": days from signup to first paid order. Calculate: median time, quartiles (P25/P50/P75), percentage converting within 7/30/90 days. Survival curve data for visualization.",None - create users table with signup_date and first_purchase_date,"Survival analysis, time-to-event calculation, DATEDIFF, percentile analysis, conversion timing","12 criteria, 100 pts",80 pts,"SQL script (survival metrics), conversion timeline table screenshot, time-to-purchase distribution, documentation (200 words)",STANDALONE - Survival analysis intro
131,🆕 NEW,Dynamic Pivot - Unknown Column Count,"Report needs columns for each product category, but categories change monthly (new categories added). Static pivot breaks. Generate dynamic SQL: query categories, build pivot SQL string programmatically, execute. Handle unknown column count.",None - create sales by category table,"Dynamic SQL generation, dynamic pivot, building SQL strings, EXECUTE or PREPARE/EXECUTE, handling variable columns","13 criteria, 100 pts",85 pts,"SQL script (dynamic pivot generation), generated SQL output, execution results screenshot, documentation (250 words on dynamic SQL)",STANDALONE - Dynamic SQL techniques
132,🆕 NEW,Unpivot Implementation - Wide to Long,"Quarterly revenue data stored wide: Q1_Revenue, Q2_Revenue, Q3_Revenue, Q4_Revenue columns. Analytics needs long format: Quarter | Revenue. Use UNPIVOT (if available) or UNION ALL to transform.",None - create wide revenue table,"UNPIVOT operation, wide-to-long transformation, UNION ALL alternative, data reshaping","10 criteria, 100 pts",80 pts,"SQL script (unpivot with both methods), long-format results screenshot, documentation (150 words)",STANDALONE - Data reshaping
133,🆕 NEW,Graph Database Emulation - Social Network,"Social network: find friends-of-friends (2 degrees), friends-of-friends-of-friends (3 degrees). Recursive CTE traverses friendships table. Count connections at each level. Implement in relational DB (graph-like query).","None - create friendships table (user_id, friend_id)","Recursive CTE for graph traversal, N-degrees of separation, network analysis in SQL, graph algorithms in relational DB","14 criteria, 100 pts",85 pts,"SQL script (recursive friend-finding), network depth table screenshot, connection counts by degree, documentation (250 words)",STANDALONE - Graph queries in SQL
134,🆕 NEW,Temporal Table Queries - System Versioning,"SQL Server 2016+ or PostgreSQL temporal tables: query historical state. ""What was customer address on 2023-06-15?"" Use FOR SYSTEM_TIME AS OF to retrieve point-in-time snapshot. Time-travel queries.",None - PostgreSQL or SQL Server with temporal tables,"Temporal tables, FOR SYSTEM_TIME AS OF, point-in-time queries, system versioning, historical snapshots","11 criteria, 100 pts",80 pts,"SQL script (temporal queries), historical vs current comparison screenshot, documentation (200 words on temporal tables)",STANDALONE - Temporal querying
135,🆕 NEW,Bitwise Operations - Permission Flags,"User permissions stored as bitmask: Read=1, Write=2, Delete=4, Admin=8. User with permissions 7 (binary 0111) has Read+Write+Delete. Use bitwise AND (&) to check permissions. SET/CLEAR bits with OR (|) and AND NOT.",None - create users table with permissions INT,"Bitwise operations (&, |, ^, ~), bitmask permissions, bit manipulation, compact permission storage","12 criteria, 100 pts",80 pts,"SQL script (bitwise checks, setting/clearing permissions), permission examples screenshot, documentation (200 words on bitmasks)",STANDALONE - Bitwise techniques
136,🆕 NEW,Regular Expressions - Complex Pattern Matching,"Email validation: pattern matching for valid email format. Phone number extraction from mixed text. URL parsing. Use REGEXP_MATCHES (PostgreSQL), REGEXP_LIKE (Oracle), or REGEX functions. Complex pattern validation.",None - create contacts with varied formats,"Regular expressions, REGEXP_MATCHES, REGEXP_REPLACE, pattern matching, validation with regex","11 criteria, 100 pts",80 pts,"SQL script (regex patterns for email/phone/URL), validation results screenshot, documentation (200 words on regex in SQL)",STANDALONE - Regex pattern matching
137,🆕 NEW,Fuzzy Matching - Similar Names,"Customer data merge: ""Jon Smith"" vs ""John Smith"", ""ABC Corp"" vs ""ABC Corporation"". Find near-matches using Levenshtein distance (edit distance) or Soundex (phonetic matching). Identify potential duplicates.",None - create customers with similar names,"Fuzzy matching, Levenshtein distance, Soundex, phonetic matching, duplicate detection","12 criteria, 100 pts",80 pts,"SQL script (fuzzy matching functions), potential duplicates screenshot, matching threshold tuning, documentation (200 words)",STANDALONE - Fuzzy string matching
138,🆕 NEW,Bill of Materials (BOM) Explosion,"Manufacturing: product consists of components, which consist of sub-components (nested hierarchy). Recursive CTE explodes BOM: show all parts needed to build final product, with quantities at each level. Multiply quantities down tree.","None - create parts table (part_id, component_id, quantity)","Recursive CTE for BOM, hierarchical parts list, quantity accumulation, tree traversal, manufacturing data","14 criteria, 100 pts",85 pts,"SQL script (BOM explosion), complete parts list screenshot showing hierarchy, total quantities, documentation (250 words)",STANDALONE - Hierarchical BOM
139,🆕 NEW,Data Quality Scoring,"Data quality audit: score each table. Calculate per column: % non-null values, % unique values (where appropriate), % values in valid range. Overall table quality score = average of column scores. Generate quality report.",None - create sample tables with quality issues,"Data quality metrics, completeness %, uniqueness %, validity checks, dynamic SQL for all columns","13 criteria, 100 pts",85 pts,"SQL script (quality scoring queries), quality report screenshot, column-level scores, documentation (250 words)",STANDALONE - Data quality assessment
140,🆕 NEW,Advanced Window Frames - Custom Boundaries,"Stock trading: calculate support/resistance levels using local min/max in sliding window. For each day, find min/max in window of 5 days before to 5 days after (centered). Use RANGE BETWEEN or ROWS BETWEEN with both PRECEDING and FOLLOWING.",None - create stock_prices table,"Complex window frames, ROWS BETWEEN X PRECEDING AND Y FOLLOWING, RANGE vs ROWS, centered windows, symmetric frames","12 criteria, 100 pts",80 pts,"SQL script (advanced window frames), support/resistance screenshot, documentation (200 words on frame specifications)",STANDALONE - Custom window framing
141,🆕 NEW,Trigger Implementation - Audit Logging,"Automatic audit trail: when any UPDATE on sensitive_data table, automatically INSERT into audit_log (user, timestamp, old_values, new_values). Create AFTER UPDATE trigger. Captures all changes without application code.",None - create sensitive_data and audit_log tables,"CREATE TRIGGER, AFTER UPDATE, OLD/NEW row references, automatic audit logging, trigger programming","12 criteria, 100 pts",80 pts,"SQL script (trigger creation, test updates), audit log screenshot showing captured changes, documentation (250 words on triggers)",STANDALONE - Trigger automation
142,🆕 NEW,Stored Procedure - Complex Business Logic,"Month-end close procedure: (1) Calculate monthly totals, (2) Archive completed orders, (3) Update inventory snapshots, (4) Generate summary reports, (5) Send notifications. Multi-step process in single stored procedure with error handling and transactions.",None - create relevant tables,"CREATE PROCEDURE, parameters, variables, control flow (IF/WHILE), error handling (TRY/CATCH), transactions in procedures","15 criteria, 100 pts",90 pts,"SQL script (procedure definition), execution results screenshot, error handling demo, documentation (300 words)",STANDALONE - Stored procedure development
143,🆕 NEW,User-Defined Function - Reusable Calculation,"Business calculation: discount amount based on complex tiering (volume, customer type, product category). Create scalar UDF: calculate_discount(quantity, customer_type, category) RETURNS DECIMAL. Use in queries like regular function.",None,"CREATE FUNCTION, scalar functions, parameters, RETURNS, deterministic functions, function in SELECT","11 criteria, 100 pts",80 pts,"SQL script (function creation, usage examples), calculation results screenshot, documentation (200 words on UDFs)",STANDALONE - User-defined functions
144,🆕 NEW,Advisory Locks - Prevent Concurrent Execution,"Batch job should only run one instance at a time. Use advisory locks: pg_advisory_lock (PostgreSQL) or GET_LOCK (MySQL). Lock acquired at start, released at end. Second instance waits or skips if lock held.",None - PostgreSQL or MySQL,"Advisory locks, pg_advisory_lock, GET_LOCK, concurrency control, preventing duplicate execution","10 criteria, 100 pts",80 pts,"SQL script (advisory lock pattern), concurrent execution test, documentation (200 words on use cases)",STANDALONE - Concurrency control
145,🆕 NEW,Full-Text Search - Document Search,"Product catalog search: users search ""wireless bluetooth headphones"". Full-text search with ranking: to_tsvector on product descriptions, to_tsquery for search terms, ts_rank for relevance. Return results sorted by relevance score.",None - PostgreSQL with tsvector data,"Full-text search, to_tsvector, to_tsquery, ts_rank, GIN index on tsvector, search relevance ranking","13 criteria, 100 pts",85 pts,"SQL script (FTS setup, search queries), ranked search results screenshot, documentation (250 words on full-text search)",STANDALONE - Text search
146,🆕 NEW,GIS/Spatial Queries - Location Analysis,"Store locator: find all stores within 10km of user location (latitude/longitude). Use PostGIS ST_Distance, ST_DWithin. Calculate distances, sort by nearest. Spatial indexing for performance.",None - PostgreSQL with PostGIS extension,"PostGIS, ST_Distance, ST_DWithin, spatial queries, geography data type, location-based queries","12 criteria, 100 pts",80 pts,"SQL script (spatial queries), nearby stores screenshot with distances, documentation (200 words on spatial SQL)",STANDALONE - Geospatial queries
147,🆕 NEW,Time Zone Handling - Multi-Region Timestamps,"Global company: events stored in UTC, display in user local time. Convert timestamps: AT TIME ZONE for conversion. Show event time in New York, London, Tokyo simultaneously. Handle DST transitions.",None - PostgreSQL or database with timezone support,"AT TIME ZONE, timezone conversion, UTC storage, local display, TIMESTAMP WITH TIME ZONE vs WITHOUT","11 criteria, 100 pts",80 pts,"SQL script (timezone conversions), multi-timezone display screenshot, documentation (200 words on timezone best practices)",STANDALONE - Timezone management
148,🆕 NEW,Array Operations - Tag Management,"Blog posts have tags stored as array: tags = ARRAY['sql', 'database', 'tutorial']. Query: posts with ANY tag in ['sql','python'], ALL tags in list, overlapping tags. Use array operators: @>, &&, <@.",None - PostgreSQL with array columns,"Array operations, @> (contains), && (overlaps), <@ (contained by), ANY/ALL with arrays, array indexing","11 criteria, 100 pts",80 pts,"SQL script (array queries), array operation examples screenshot, documentation (200 words on arrays)",STANDALONE - Array manipulation
149,🆕 NEW,JSON Path Queries - Complex JSON,"API responses stored as JSONB. Extract nested data: user.profile.address.city from deep JSON. Use jsonb_path_query, -> and ->> operators. Query arrays within JSON. Handle missing keys gracefully.",None - PostgreSQL with JSONB data,"JSON path queries, jsonb_path_query, -> vs ->>, #> for paths, querying nested JSON, array element access","12 criteria, 100 pts",80 pts,"SQL script (deep JSON queries), extracted data screenshot, documentation (200 words on JSON querying)",STANDALONE - Advanced JSON queries
150,🆕 NEW,Database Design Review & Optimization,"Audit existing database schema. Identify: (1) Normalization issues (repeated data), (2) Missing indexes on foreign keys, (3) Inefficient data types, (4) Missing constraints, (5) Performance bottlenecks. Propose optimized schema with documentation.",None - analyze provided schema or create flawed example,"Schema analysis, normalization review, index recommendations, data type optimization, constraint analysis, design best practices","16 criteria, 100 pts",90 pts,"SQL script (analysis queries, schema improvements), before/after schema comparison, optimization recommendations document (400+ words)",STANDALONE - Database design mastery
